"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"1","SchaunW","809377394",2018-02-02 17:13:17,"959474817798942720","@AaronSlowey @beeonaposy It often feels like something that you either know how to do or you don't, but it's actual… https://t.co/PbyBv28Tla",0,0,FALSE,NA,FALSE,NA,"959474397018054656","809377394","SchaunW","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/959474817798942720","AaronSlowey beeonaposy","605865672 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SchaunW","809377394",2018-02-02 17:11:37,"959474397018054656","@AaronSlowey @beeonaposy It's the difference between knowing how to building and knowing how to *plan* to build, an… https://t.co/nnJERp5XXZ",0,0,FALSE,NA,FALSE,NA,"959473981169520641","809377394","SchaunW","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/959474397018054656","AaronSlowey beeonaposy","605865672 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","SchaunW","809377394",2018-02-02 17:09:57,"959473981169520641","@AaronSlowey @beeonaposy @beeonaposy @AaronSlowey I mean design generally - distinguishing all of a particular goal… https://t.co/q0aNDf7eka",0,0,FALSE,NA,FALSE,NA,"958664458368356352","605865672","AaronSlowey","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/959473981169520641","AaronSlowey beeonaposy beeonaposy AaronSlowey","605865672 215035672 215035672 605865672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","benjaminhabert","523124351",2018-02-02 07:21:53,"959325988697100288","@beeonaposy @luca software engineering knowledge",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy luca","215035672 11985982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","wiama","28083789",2018-02-02 05:37:20,"959299677677010949","@beeonaposy Feature engineering",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ellisonbg","12448992",2018-02-02 01:37:01,"959239200246661120","@beeonaposy @drob Hands down: typing speed.",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"beeonaposy drob","215035672 46245868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","exaptive","2417791922",2018-02-01 17:18:56,"959113851546501122","@beeonaposy Great discussion Q for us, thanks for posting! Our data scientist @frankdevans: ""Effective Exploratory… https://t.co/8gnyagPVF8",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/959113851546501122","beeonaposy frankdevans","215035672 15147516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","noellesio","39810894",2018-01-31 17:07:39,"958748623847677952","@beeonaposy This thread is amazing! I agree with so, so many of them. But just to add a couple different things:… https://t.co/M33zZ80Gpx",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958748623847677952","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AaronSlowey","605865672",2018-01-31 11:33:12,"958664458368356352","@beeonaposy @SchaunW Designing functions that are flexible yet not overbearing (enough, but not too many arguments)… https://t.co/llfi44OVDp",0,1,FALSE,NA,FALSE,NA,"958091048487735298","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958664458368356352","beeonaposy SchaunW","215035672 809377394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","jessenleon","2527843680",2018-01-31 06:54:24,"958594294180392962","@beeonaposy Well, as I see it @beeonaposy, most people who are successful in a team are people who are able to unde… https://t.co/ozcZWiGY0o",0,0,FALSE,NA,FALSE,NA,"958064013694373889","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958594294180392962","beeonaposy beeonaposy","215035672 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","theporra","177318290",2018-01-31 06:07:14,"958582425281581057","@beeonaposy Incredible thread - thankyou!! 👊🏼 would love to see all this aggregated",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
